objectid,n_muertos,n_heridos,id_accident
62328,0,0,62328
62330,0,1,62330
62336,0,1,62336
62726,0,0,62726
62727,0,0,62727
63538,0,0,63538
63539,0,0,63539
63540,0,2,63540
66749,0,1,66749
66750,0,1,66750
66751,0,0,66751
66752,0,1,66752
66753,0,0,66753
66754,0,1,66754
66755,0,4,66755
66756,0,1,66756
66757,0,0,66757
66759,0,0,66759
66760,0,1,66760
66761,0,0,66761
67946,0,0,67946
67949,0,0,67949
67950,0,0,67950
68342,0,0,68342
68343,0,0,68343
68345,0,0,68345
68353,0,0,68353
68356,1,0,68356
68358,0,0,68358
70772,0,0,70772
71569,0,0,71569
71570,0,0,71570
71571,0,0,71571
74373,0,0,74373
74374,0,0,74374
74375,0,0,74375
74376,0,0,74376
74377,0,0,74377
75584,0,0,75584
75586,0,0,75586
75589,0,0,75589
75979,1,0,75979
75980,0,0,75980
75982,0,0,75982
75984,0,0,75984
75986,0,0,75986
75987,0,0,75987
75988,0,0,75988
75989,0,0,75989
75990,0,0,75990
76391,0,2,76391
76398,0,4,76398
76793,0,0,76793
77588,0,1,77588
77589,0,0,77589
77590,0,0,77590
77591,1,0,77591
77592,0,0,77592
83998,1,0,83998
83999,0,0,83999
93601,0,0,93601
93602,0,0,93602
93603,0,0,93603
93604,0,3,93604
94003,0,0,94003
94005,0,2,94005
94007,0,1,94007
94008,0,0,94008
95973,0,0,95973
95974,0,0,95974
95975,0,0,95975
95976,0,0,95976
95977,1,0,95977
95978,0,0,95978
95979,0,0,95979
95980,0,0,95980
95981,0,0,95981
95982,0,0,95982
95983,0,0,95983
95984,0,2,95984
95985,0,0,95985
95986,0,0,95986
95987,1,0,95987
95988,0,0,95988
95989,0,0,95989
95990,0,0,95990
95991,0,1,95991
95992,0,0,95992
95993,0,0,95993
95999,0,1,95999
96000,1,1,96000
96001,0,0,96001
96002,0,1,96002
96007,0,0,96007
96008,0,1,96008
96015,0,0,96015
96016,0,0,96016
96024,0,0,96024
96025,0,0,96025
96031,0,0,96031
96044,0,3,96044
96053,0,0,96053
96054,0,1,96054
96055,0,0,96055
96234,0,0,96234
96235,0,0,96235
96238,0,1,96238
96241,0,0,96241
96242,0,1,96242
96243,0,1,96243
96244,0,0,96244
96245,0,0,96245
96246,0,0,96246
96247,0,0,96247
96248,0,12,96248
96249,0,2,96249
96250,0,1,96250
96251,0,2,96251
96252,0,0,96252
96253,0,0,96253
96254,0,0,96254
96255,1,0,96255
96264,0,2,96264
96265,0,0,96265
96266,0,0,96266
96267,0,0,96267
96268,1,0,96268
96269,3,3,96269
96270,0,0,96270
96271,0,0,96271
96272,0,0,96272
96273,0,0,96273
96274,0,3,96274
96275,0,0,96275
96276,0,0,96276
96277,0,0,96277
96278,0,0,96278
96279,0,0,96279
96280,0,0,96280
96281,0,0,96281
96282,0,0,96282
96283,0,0,96283
96284,0,1,96284
96285,0,0,96285
96286,0,0,96286
96287,0,0,96287
96288,0,0,96288
96289,0,0,96289
96290,1,0,96290
96291,0,0,96291
96292,2,0,96292
96293,0,0,96293
96294,0,0,96294
96295,0,0,96295
96296,0,0,96296
96297,1,0,96297
96298,0,0,96298
96299,0,0,96299
96300,0,1,96300
96301,0,1,96301
96302,0,0,96302
96303,0,0,96303
96304,0,0,96304
96305,0,0,96305
96306,0,0,96306
