id_accident,accident_time,id_date,id_location,id_condition,id_class_accident
62328,12,62328,62328,62328,62328
62330,6,62330,62330,62330,62330
62336,18,62336,62336,62336,62336
62726,0,62726,62726,62726,62726
62727,16,62727,62727,62727,62727
63538,17,63538,63538,63538,63538
63539,4,63539,63539,63539,63539
63540,14,63540,63540,63540,63540
66749,4,66749,66749,66749,66749
66750,6,66750,66750,66750,66750
66751,10,66751,66751,66751,66751
66752,17,66752,66752,66752,66752
66753,20,66753,66753,66753,66753
66754,9,66754,66754,66754,66754
66755,18,66755,66755,66755,66755
66756,7,66756,66756,66756,66756
66757,18,66757,66757,66757,66757
66759,13,66759,66759,66759,66759
66760,12,66760,66760,66760,66760
66761,9,66761,66761,66761,66761
67946,15,67946,67946,67946,67946
67949,8,67949,67949,67949,67949
67950,14,67950,67950,67950,67950
68342,15,68342,68342,68342,68342
68343,16,68343,68343,68343,68343
68345,16,68345,68345,68345,68345
68353,18,68353,68353,68353,68353
68356,4,68356,68356,68356,68356
68358,10,68358,68358,68358,68358
70772,17,70772,70772,70772,70772
71569,14,71569,71569,71569,71569
71570,13,71570,71570,71570,71570
71571,19,71571,71571,71571,71571
74373,16,74373,74373,74373,74373
74374,18,74374,74374,74374,74374
74375,19,74375,74375,74375,74375
74376,13,74376,74376,74376,74376
74377,15,74377,74377,74377,74377
75584,5,75584,75584,75584,75584
75586,7,75586,75586,75586,75586
75589,15,75589,75589,75589,75589
75979,0,75979,75979,75979,75979
75980,14,75980,75980,75980,75980
75982,15,75982,75982,75982,75982
75984,13,75984,75984,75984,75984
75986,9,75986,75986,75986,75986
75987,7,75987,75987,75987,75987
75988,11,75988,75988,75988,75988
75989,22,75989,75989,75989,75989
75990,7,75990,75990,75990,75990
76391,18,76391,76391,76391,76391
76398,7,76398,76398,76398,76398
76793,11,76793,76793,76793,76793
77588,0,77588,77588,77588,77588
77589,0,77589,77589,77589,77589
77590,16,77590,77590,77590,77590
77591,0,77591,77591,77591,77591
77592,18,77592,77592,77592,77592
83998,17,83998,83998,83998,83998
83999,6,83999,83999,83999,83999
93601,1,93601,93601,93601,93601
93602,15,93602,93602,93602,93602
93603,19,93603,93603,93603,93603
93604,16,93604,93604,93604,93604
94003,15,94003,94003,94003,94003
94005,19,94005,94005,94005,94005
94007,15,94007,94007,94007,94007
94008,5,94008,94008,94008,94008
95973,12,95973,95973,95973,95973
95974,12,95974,95974,95974,95974
95975,12,95975,95975,95975,95975
95976,12,95976,95976,95976,95976
95977,12,95977,95977,95977,95977
95978,12,95978,95978,95978,95978
95979,12,95979,95979,95979,95979
95980,12,95980,95980,95980,95980
95981,12,95981,95981,95981,95981
95982,12,95982,95982,95982,95982
95983,12,95983,95983,95983,95983
95984,12,95984,95984,95984,95984
95985,12,95985,95985,95985,95985
95986,12,95986,95986,95986,95986
95987,12,95987,95987,95987,95987
95988,12,95988,95988,95988,95988
95989,12,95989,95989,95989,95989
95990,12,95990,95990,95990,95990
95991,12,95991,95991,95991,95991
95992,12,95992,95992,95992,95992
95993,12,95993,95993,95993,95993
95999,12,95999,95999,95999,95999
96000,12,96000,96000,96000,96000
96001,12,96001,96001,96001,96001
96002,12,96002,96002,96002,96002
96007,12,96007,96007,96007,96007
96008,12,96008,96008,96008,96008
96015,12,96015,96015,96015,96015
96016,12,96016,96016,96016,96016
96024,12,96024,96024,96024,96024
96025,12,96025,96025,96025,96025
96031,12,96031,96031,96031,96031
96044,12,96044,96044,96044,96044
96053,12,96053,96053,96053,96053
96054,12,96054,96054,96054,96054
96055,12,96055,96055,96055,96055
96234,12,96234,96234,96234,96234
96235,12,96235,96235,96235,96235
96238,12,96238,96238,96238,96238
96241,12,96241,96241,96241,96241
96242,12,96242,96242,96242,96242
96243,12,96243,96243,96243,96243
96244,12,96244,96244,96244,96244
96245,12,96245,96245,96245,96245
96246,12,96246,96246,96246,96246
96247,12,96247,96247,96247,96247
96248,12,96248,96248,96248,96248
96249,12,96249,96249,96249,96249
96250,12,96250,96250,96250,96250
96251,12,96251,96251,96251,96251
96252,12,96252,96252,96252,96252
96253,12,96253,96253,96253,96253
96254,12,96254,96254,96254,96254
96255,12,96255,96255,96255,96255
96264,12,96264,96264,96264,96264
96265,12,96265,96265,96265,96265
96266,12,96266,96266,96266,96266
96267,12,96267,96267,96267,96267
96268,12,96268,96268,96268,96268
96269,12,96269,96269,96269,96269
96270,12,96270,96270,96270,96270
96271,12,96271,96271,96271,96271
96272,12,96272,96272,96272,96272
96273,12,96273,96273,96273,96273
96274,12,96274,96274,96274,96274
96275,12,96275,96275,96275,96275
96276,12,96276,96276,96276,96276
96277,12,96277,96277,96277,96277
96278,12,96278,96278,96278,96278
96279,12,96279,96279,96279,96279
96280,12,96280,96280,96280,96280
96281,12,96281,96281,96281,96281
96282,12,96282,96282,96282,96282
96283,12,96283,96283,96283,96283
96284,12,96284,96284,96284,96284
96285,12,96285,96285,96285,96285
96286,12,96286,96286,96286,96286
96287,12,96287,96287,96287,96287
96288,12,96288,96288,96288,96288
96289,12,96289,96289,96289,96289
96290,12,96290,96290,96290,96290
96291,12,96291,96291,96291,96291
96292,12,96292,96292,96292,96292
96293,12,96293,96293,96293,96293
96294,12,96294,96294,96294,96294
96295,12,96295,96295,96295,96295
96296,12,96296,96296,96296,96296
96297,12,96297,96297,96297,96297
96298,12,96298,96298,96298,96298
96299,12,96299,96299,96299,96299
96300,12,96300,96300,96300,96300
96301,12,96301,96301,96301,96301
96302,12,96302,96302,96302,96302
96303,12,96303,96303,96303,96303
96304,12,96304,96304,96304,96304
96305,12,96305,96305,96305,96305
96306,12,96306,96306,96306,96306
96307,12,96307,96307,96307,96307
96308,12,96308,96308,96308,96308
96309,12,96309,96309,96309,96309
96310,12,96310,96310,96310,96310
96311,12,96311,96311,96311,96311
96312,12,96312,96312,96312,96312
96313,12,96313,96313,96313,96313
96314,12,96314,96314,96314,96314
96315,12,96315,96315,96315,96315
96316,12,96316,96316,96316,96316
96317,12,96317,96317,96317,96317
96318,12,96318,96318,96318,96318
96319,12,96319,96319,96319,96319
96320,12,96320,96320,96320,96320
96321,12,96321,96321,96321,96321
96322,12,96322,96322,96322,96322
96323,12,96323,96323,96323,96323
96324,12,96324,96324,96324,96324
96325,12,96325,96325,96325,96325
96326,12,96326,96326,96326,96326
96327,12,96327,96327,96327,96327
96328,12,96328,96328,96328,96328
96445,12,96445,96445,96445,96445
96446,12,96446,96446,96446,96446
96447,12,96447,96447,96447,96447
96448,12,96448,96448,96448,96448
96449,12,96449,96449,96449,96449
96450,12,96450,96450,96450,96450
96451,12,96451,96451,96451,96451
96699,12,96699,96699,96699,96699
96700,12,96700,96700,96700,96700
96701,12,96701,96701,96701,96701
96702,12,96702,96702,96702,96702
96703,12,96703,96703,96703,96703
96704,12,96704,96704,96704,96704
96705,12,96705,96705,96705,96705
96706,12,96706,96706,96706,96706
96707,12,96707,96707,96707,96707
96708,12,96708,96708,96708,96708
96709,12,96709,96709,96709,96709
96710,12,96710,96710,96710,96710
96711,12,96711,96711,96711,96711
96712,12,96712,96712,96712,96712
96713,12,96713,96713,96713,96713
96714,12,96714,96714,96714,96714
96715,12,96715,96715,96715,96715
96716,12,96716,96716,96716,96716
96717,12,96717,96717,96717,96717
96718,12,96718,96718,96718,96718
96719,12,96719,96719,96719,96719
96720,12,96720,96720,96720,96720
96721,12,96721,96721,96721,96721
96722,12,96722,96722,96722,96722
96723,12,96723,96723,96723,96723
96724,12,96724,96724,96724,96724
96725,12,96725,96725,96725,96725
96726,12,96726,96726,96726,96726
96727,12,96727,96727,96727,96727
96728,12,96728,96728,96728,96728
96729,12,96729,96729,96729,96729
96730,12,96730,96730,96730,96730
96731,12,96731,96731,96731,96731
96732,12,96732,96732,96732,96732
96733,12,96733,96733,96733,96733
96734,12,96734,96734,96734,96734
96735,12,96735,96735,96735,96735
96736,12,96736,96736,96736,96736
96737,12,96737,96737,96737,96737
96738,12,96738,96738,96738,96738
96739,12,96739,96739,96739,96739
96740,12,96740,96740,96740,96740
96741,12,96741,96741,96741,96741
96742,12,96742,96742,96742,96742
96743,12,96743,96743,96743,96743
96744,12,96744,96744,96744,96744
96745,12,96745,96745,96745,96745
96746,12,96746,96746,96746,96746
96747,12,96747,96747,96747,96747
96748,12,96748,96748,96748,96748
96749,12,96749,96749,96749,96749
96750,12,96750,96750,96750,96750
96751,12,96751,96751,96751,96751
96752,12,96752,96752,96752,96752
96753,12,96753,96753,96753,96753
96754,12,96754,96754,96754,96754
96755,12,96755,96755,96755,96755
96756,12,96756,96756,96756,96756
96757,12,96757,96757,96757,96757
96758,12,96758,96758,96758,96758
96759,12,96759,96759,96759,96759
96760,12,96760,96760,96760,96760
96761,12,96761,96761,96761,96761
96762,12,96762,96762,96762,96762
96763,12,96763,96763,96763,96763
96764,12,96764,96764,96764,96764
96765,12,96765,96765,96765,96765
96766,12,96766,96766,96766,96766
96767,12,96767,96767,96767,96767
96768,12,96768,96768,96768,96768
96769,12,96769,96769,96769,96769
96770,12,96770,96770,96770,96770
96771,12,96771,96771,96771,96771
96772,12,96772,96772,96772,96772
96773,12,96773,96773,96773,96773
97056,12,97056,97056,97056,97056
97057,12,97057,97057,97057,97057
97058,12,97058,97058,97058,97058
97059,12,97059,97059,97059,97059
97060,12,97060,97060,97060,97060
97061,12,97061,97061,97061,97061
97064,12,97064,97064,97064,97064
97065,12,97065,97065,97065,97065
97066,12,97066,97066,97066,97066
97067,12,97067,97067,97067,97067
97068,12,97068,97068,97068,97068
97069,12,97069,97069,97069,97069
97188,12,97188,97188,97188,97188
97189,12,97189,97189,97189,97189
97190,12,97190,97190,97190,97190
97191,12,97191,97191,97191,97191
97192,12,97192,97192,97192,97192
97193,12,97193,97193,97193,97193
97194,12,97194,97194,97194,97194
97195,12,97195,97195,97195,97195
97196,12,97196,97196,97196,97196
97197,12,97197,97197,97197,97197
97198,12,97198,97198,97198,97198
97199,12,97199,97199,97199,97199
97200,12,97200,97200,97200,97200
97201,12,97201,97201,97201,97201
97202,12,97202,97202,97202,97202
97203,12,97203,97203,97203,97203
97204,12,97204,97204,97204,97204
97205,12,97205,97205,97205,97205
97206,12,97206,97206,97206,97206
97207,12,97207,97207,97207,97207
97208,12,97208,97208,97208,97208
97209,12,97209,97209,97209,97209
97210,12,97210,97210,97210,97210
97211,12,97211,97211,97211,97211
97212,12,97212,97212,97212,97212
97213,12,97213,97213,97213,97213
97214,12,97214,97214,97214,97214
97215,12,97215,97215,97215,97215
97216,12,97216,97216,97216,97216
97217,12,97217,97217,97217,97217
97218,12,97218,97218,97218,97218
97219,12,97219,97219,97219,97219
97220,12,97220,97220,97220,97220
97221,12,97221,97221,97221,97221
97222,12,97222,97222,97222,97222
97223,12,97223,97223,97223,97223
97224,12,97224,97224,97224,97224
97225,12,97225,97225,97225,97225
97226,12,97226,97226,97226,97226
97227,12,97227,97227,97227,97227
97228,12,97228,97228,97228,97228
97229,12,97229,97229,97229,97229
97230,12,97230,97230,97230,97230
97231,12,97231,97231,97231,97231
97232,12,97232,97232,97232,97232
97233,12,97233,97233,97233,97233
97234,12,97234,97234,97234,97234
97235,12,97235,97235,97235,97235
97236,12,97236,97236,97236,97236
97237,12,97237,97237,97237,97237
97238,12,97238,97238,97238,97238
97239,12,97239,97239,97239,97239
97240,12,97240,97240,97240,97240
97241,12,97241,97241,97241,97241
97242,12,97242,97242,97242,97242
97243,12,97243,97243,97243,97243
97244,12,97244,97244,97244,97244
97245,12,97245,97245,97245,97245
97246,12,97246,97246,97246,97246
97247,12,97247,97247,97247,97247
97248,12,97248,97248,97248,97248
97249,12,97249,97249,97249,97249
97250,12,97250,97250,97250,97250
97251,12,97251,97251,97251,97251
97252,12,97252,97252,97252,97252
97253,12,97253,97253,97253,97253
97254,12,97254,97254,97254,97254
97255,12,97255,97255,97255,97255
97256,12,97256,97256,97256,97256
97257,12,97257,97257,97257,97257
97258,12,97258,97258,97258,97258
97259,12,97259,97259,97259,97259
97260,12,97260,97260,97260,97260
97261,12,97261,97261,97261,97261
97262,12,97262,97262,97262,97262
97263,12,97263,97263,97263,97263
97264,12,97264,97264,97264,97264
97265,12,97265,97265,97265,97265
97266,12,97266,97266,97266,97266
97267,12,97267,97267,97267,97267
97268,12,97268,97268,97268,97268
97269,12,97269,97269,97269,97269
97270,12,97270,97270,97270,97270
97271,12,97271,97271,97271,97271
97272,12,97272,97272,97272,97272
97273,12,97273,97273,97273,97273
97274,12,97274,97274,97274,97274
97275,12,97275,97275,97275,97275
97276,12,97276,97276,97276,97276
97277,12,97277,97277,97277,97277
97278,12,97278,97278,97278,97278
97279,12,97279,97279,97279,97279
97280,12,97280,97280,97280,97280
97281,12,97281,97281,97281,97281
97282,12,97282,97282,97282,97282
97283,12,97283,97283,97283,97283
97284,12,97284,97284,97284,97284
97285,12,97285,97285,97285,97285
97286,12,97286,97286,97286,97286
97287,12,97287,97287,97287,97287
97288,12,97288,97288,97288,97288
97289,12,97289,97289,97289,97289
97290,12,97290,97290,97290,97290
97291,12,97291,97291,97291,97291
97292,12,97292,97292,97292,97292
97293,12,97293,97293,97293,97293
97294,12,97294,97294,97294,97294
97295,12,97295,97295,97295,97295
97296,12,97296,97296,97296,97296
97297,12,97297,97297,97297,97297
97298,12,97298,97298,97298,97298
97299,12,97299,97299,97299,97299
97300,12,97300,97300,97300,97300
97301,12,97301,97301,97301,97301
97302,12,97302,97302,97302,97302
97303,12,97303,97303,97303,97303
97304,12,97304,97304,97304,97304
97305,12,97305,97305,97305,97305
97306,12,97306,97306,97306,97306
97307,12,97307,97307,97307,97307
97308,12,97308,97308,97308,97308
97309,12,97309,97309,97309,97309
97310,12,97310,97310,97310,97310
97311,12,97311,97311,97311,97311
97312,12,97312,97312,97312,97312
97313,12,97313,97313,97313,97313
97314,12,97314,97314,97314,97314
97315,12,97315,97315,97315,97315
97316,12,97316,97316,97316,97316
97317,12,97317,97317,97317,97317
97318,12,97318,97318,97318,97318
97319,12,97319,97319,97319,97319
97320,12,97320,97320,97320,97320
97321,12,97321,97321,97321,97321
97322,12,97322,97322,97322,97322
97323,12,97323,97323,97323,97323
97324,12,97324,97324,97324,97324
97325,12,97325,97325,97325,97325
97326,12,97326,97326,97326,97326
97327,12,97327,97327,97327,97327
97328,12,97328,97328,97328,97328
97533,12,97533,97533,97533,97533
97475,12,97475,97475,97475,97475
97476,12,97476,97476,97476,97476
97477,12,97477,97477,97477,97477
97478,12,97478,97478,97478,97478
97479,12,97479,97479,97479,97479
97480,12,97480,97480,97480,97480
97481,12,97481,97481,97481,97481
97482,12,97482,97482,97482,97482
97483,12,97483,97483,97483,97483
97484,12,97484,97484,97484,97484
97485,12,97485,97485,97485,97485
97486,12,97486,97486,97486,97486
97487,12,97487,97487,97487,97487
97488,12,97488,97488,97488,97488
97489,12,97489,97489,97489,97489
97490,12,97490,97490,97490,97490
97491,12,97491,97491,97491,97491
97492,12,97492,97492,97492,97492
97493,12,97493,97493,97493,97493
97494,12,97494,97494,97494,97494
97495,12,97495,97495,97495,97495
97496,12,97496,97496,97496,97496
97497,12,97497,97497,97497,97497
97498,12,97498,97498,97498,97498
97499,12,97499,97499,97499,97499
97500,12,97500,97500,97500,97500
97501,12,97501,97501,97501,97501
97502,12,97502,97502,97502,97502
97503,12,97503,97503,97503,97503
97504,12,97504,97504,97504,97504
97505,12,97505,97505,97505,97505
97506,12,97506,97506,97506,97506
97507,12,97507,97507,97507,97507
97508,12,97508,97508,97508,97508
97509,12,97509,97509,97509,97509
97510,12,97510,97510,97510,97510
97511,12,97511,97511,97511,97511
97512,12,97512,97512,97512,97512
97513,12,97513,97513,97513,97513
97514,12,97514,97514,97514,97514
97515,12,97515,97515,97515,97515
97516,12,97516,97516,97516,97516
97517,12,97517,97517,97517,97517
97518,12,97518,97518,97518,97518
97519,12,97519,97519,97519,97519
97520,12,97520,97520,97520,97520
97521,12,97521,97521,97521,97521
97522,12,97522,97522,97522,97522
97523,12,97523,97523,97523,97523
97524,12,97524,97524,97524,97524
97525,12,97525,97525,97525,97525
97526,12,97526,97526,97526,97526
97527,12,97527,97527,97527,97527
97528,12,97528,97528,97528,97528
97529,12,97529,97529,97529,97529
97530,12,97530,97530,97530,97530
97531,12,97531,97531,97531,97531
97532,12,97532,97532,97532,97532
97534,12,97534,97534,97534,97534
97535,12,97535,97535,97535,97535
97536,12,97536,97536,97536,97536
97537,12,97537,97537,97537,97537
97538,12,97538,97538,97538,97538
97539,12,97539,97539,97539,97539
97540,12,97540,97540,97540,97540
97541,12,97541,97541,97541,97541
97542,12,97542,97542,97542,97542
97626,12,97626,97626,97626,97626
97627,12,97627,97627,97627,97627
97628,12,97628,97628,97628,97628
97629,12,97629,97629,97629,97629
97630,12,97630,97630,97630,97630
97631,12,97631,97631,97631,97631
97632,12,97632,97632,97632,97632
97633,12,97633,97633,97633,97633
97634,12,97634,97634,97634,97634
97635,12,97635,97635,97635,97635
97636,12,97636,97636,97636,97636
97637,12,97637,97637,97637,97637
97638,12,97638,97638,97638,97638
97639,12,97639,97639,97639,97639
97640,12,97640,97640,97640,97640
97641,12,97641,97641,97641,97641
97642,12,97642,97642,97642,97642
97643,12,97643,97643,97643,97643
97955,12,97955,97955,97955,97955
97956,12,97956,97956,97956,97956
97957,12,97957,97957,97957,97957
97958,12,97958,97958,97958,97958
97959,12,97959,97959,97959,97959
97960,12,97960,97960,97960,97960
97961,12,97961,97961,97961,97961
97962,12,97962,97962,97962,97962
97963,12,97963,97963,97963,97963
97964,12,97964,97964,97964,97964
97965,12,97965,97965,97965,97965
97966,12,97966,97966,97966,97966
97967,12,97967,97967,97967,97967
97968,12,97968,97968,97968,97968
97969,12,97969,97969,97969,97969
97970,12,97970,97970,97970,97970
97971,12,97971,97971,97971,97971
97972,12,97972,97972,97972,97972
97973,12,97973,97973,97973,97973
97974,12,97974,97974,97974,97974
97975,12,97975,97975,97975,97975
97976,12,97976,97976,97976,97976
101910,4,101910,101910,101910,101910
101913,5,101913,101913,101913,101913
101914,11,101914,101914,101914,101914
101915,15,101915,101915,101915,101915
101916,6,101916,101916,101916,101916
101917,21,101917,101917,101917,101917
101918,9,101918,101918,101918,101918
101919,9,101919,101919,101919,101919
101920,19,101920,101920,101920,101920
101922,2,101922,101922,101922,101922
101923,15,101923,101923,101923,101923
101925,18,101925,101925,101925,101925
101927,17,101927,101927,101927,101927
101928,13,101928,101928,101928,101928
101930,10,101930,101930,101930,101930
101931,22,101931,101931,101931,101931
101933,7,101933,101933,101933,101933
101935,1,101935,101935,101935,101935
101937,15,101937,101937,101937,101937
101940,19,101940,101940,101940,101940
101941,4,101941,101941,101941,101941
101943,8,101943,101943,101943,101943
101945,12,101945,101945,101945,101945
101947,5,101947,101947,101947,101947
101948,17,101948,101948,101948,101948
101951,19,101951,101951,101951,101951
101952,20,101952,101952,101952,101952
101954,15,101954,101954,101954,101954
101956,19,101956,101956,101956,101956
106101,5,106101,106101,106101,106101
101958,16,101958,101958,101958,101958
101961,7,101961,101961,101961,101961
101964,8,101964,101964,101964,101964
101967,16,101967,101967,101967,101967
101969,21,101969,101969,101969,101969
101970,23,101970,101970,101970,101970
101971,14,101971,101971,101971,101971
101972,16,101972,101972,101972,101972
101974,14,101974,101974,101974,101974
103290,9,103290,103290,103290,103290
106100,7,106100,106100,106100,106100
103291,7,103291,103291,103291,103291
103292,15,103292,103292,103292,103292
103293,0,103293,103293,103293,103293
103294,7,103294,103294,103294,103294
103295,18,103295,103295,103295,103295
106095,16,106095,106095,106095,106095
106096,16,106096,106096,106096,106096
106097,8,106097,106097,106097,106097
106098,5,106098,106098,106098,106098
106099,15,106099,106099,106099,106099
106102,8,106102,106102,106102,106102
106103,17,106103,106103,106103,106103
106104,16,106104,106104,106104,106104
106110,16,106110,106110,106110,106110
106495,12,106495,106495,106495,106495
107701,17,107701,107701,107701,107701
108895,9,108895,108895,108895,108895
108896,15,108896,108896,108896,108896
108897,17,108897,108897,108897,108897
112100,11,112100,112100,112100,112100
112101,20,112101,112101,112101,112101
112102,2,112102,112102,112102,112102
112103,5,112103,112103,112103,112103
112104,19,112104,112104,112104,112104
112105,12,112105,112105,112105,112105
112106,0,112106,112106,112106,112106
112107,20,112107,112107,112107,112107
112108,9,112108,112108,112108,112108
112109,3,112109,112109,112109,112109
112110,2,112110,112110,112110,112110
112111,7,112111,112111,112111,112111
112112,5,112112,112112,112112,112112
112113,9,112113,112113,112113,112113
112114,14,112114,112114,112114,112114
112115,12,112115,112115,112115,112115
112116,9,112116,112116,112116,112116
116112,19,116112,116112,116112,116112
116500,15,116500,116500,116500,116500
116501,10,116501,116501,116501,116501
116503,17,116503,116503,116503,116503
116505,12,116505,116505,116505,116505
116506,4,116506,116506,116506,116506
116508,9,116508,116508,116508,116508
116509,18,116509,116509,116509,116509
116511,5,116511,116511,116511,116511
120932,19,120932,120932,120932,120932
120933,17,120933,120933,120933,120933
120934,23,120934,120934,120934,120934
120935,7,120935,120935,120935,120935
120936,9,120936,120936,120936,120936
120937,19,120937,120937,120937,120937
120938,12,120938,120938,120938,120938
121308,22,121308,121308,121308,121308
122115,18,122115,122115,122115,122115
122116,19,122116,122116,122116,122116
122117,23,122117,122117,122117,122117
122121,14,122121,122121,122121,122121
122124,1,122124,122124,122124,122124
122125,19,122125,122125,122125,122125
122126,6,122126,122126,122126,122126
122521,12,122521,122521,122521,122521
122527,15,122527,122527,122527,122527
122916,2,122916,122916,122916,122916
135323,9,135323,135323,135323,135323
135324,8,135324,135324,135324,135324
135325,16,135325,135325,135325,135325
135326,18,135326,135326,135326,135326
135327,13,135327,135327,135327,135327
135328,23,135328,135328,135328,135328
136117,16,136117,136117,136117,136117
138138,17,138138,138138,138138,138138
138140,17,138140,138140,138140,138140
138536,12,138536,138536,138536,138536
139336,6,139336,139336,139336,139336
139337,18,139337,139337,139337,139337
139338,7,139338,139338,139338,139338
139339,17,139339,139339,139339,139339
139340,0,139340,139340,139340,139340
139747,12,139747,139747,139747,139747
139748,21,139748,139748,139748,139748
139749,12,139749,139749,139749,139749
139750,9,139750,139750,139750,139750
139751,17,139751,139751,139751,139751
139752,0,139752,139752,139752,139752
139753,22,139753,139753,139753,139753
140141,19,140141,140141,140141,140141
140142,7,140142,140142,140142,140142
140143,19,140143,140143,140143,140143
140144,18,140144,140144,140144,140144
140145,6,140145,140145,140145,140145
140146,15,140146,140146,140146,140146
140147,16,140147,140147,140147,140147
140948,14,140948,140948,140948,140948
140949,17,140949,140949,140949,140949
140950,5,140950,140950,140950,140950
140951,1,140951,140951,140951,140951
140952,5,140952,140952,140952,140952
141348,11,141348,141348,141348,141348
141349,5,141349,141349,141349,141349
141350,16,141350,141350,141350,141350
141351,14,141351,141351,141351,141351
142551,23,142551,142551,142551,142551
142552,2,142552,142552,142552,142552
142553,0,142553,142553,142553,142553
142554,19,142554,142554,142554,142554
142555,18,142555,142555,142555,142555
142556,12,142556,142556,142556,142556
142557,6,142557,142557,142557,142557
142558,18,142558,142558,142558,142558
142559,9,142559,142559,142559,142559
142948,18,142948,142948,142948,142948
142949,13,142949,142949,142949,142949
142950,10,142950,142950,142950,142950
142951,6,142951,142951,142951,142951
142952,16,142952,142952,142952,142952
142953,11,142953,142953,142953,142953
142954,7,142954,142954,142954,142954
142955,17,142955,142955,142955,142955
142956,9,142956,142956,142956,142956
143348,13,143348,143348,143348,143348
143349,16,143349,143349,143349,143349
