id_conditions ,surface_condition,land ,weather_condition 
62328,Humeda,Plano,Lluvia
62330,Humeda,Ondulado,Lluvia
62336,Humeda,Ondulado,Lluvia
62726,Humeda,Montañoso,Lluvia
62727,Seca y limpia,Montañoso,Normal
63538,Seca y limpia,Plano,Normal
63539,Seca y limpia,Montañoso,Normal
63540,Seca y limpia,Plano,Normal
66749,Humeda,Ondulado,Lluvia
66750,Humeda,Ondulado,Lluvia
66751,Humeda,Plano,Lluvia
66752,Seca y limpia,Montañoso,Normal
66753,Humeda,Ondulado,Lluvia
66754,Seca y limpia,Ondulado,Normal
66755,Humeda,Ondulado,Lluvia
66756,Seca y limpia,Montañoso,Normal
66757,Humeda,Ondulado,Lluvia
66759,Humeda,Ondulado,Lluvia
66760,Humeda,Ondulado,Lluvia
66761,Seca y limpia,Ondulado,Normal
67946,Seca y limpia,Montañoso,Sol
67949,Seca y limpia,Montañoso,Seca
67950,Humeda,Montañoso,Lluvia
68342,Seca y limpia,Montañoso,Seca
68343,Seca y limpia,Montañoso,Seca
68345,Seca y limpia,Montañoso,Seca
68353,Seca y limpia,Plano,Seca
68356,Seca y limpia,Montañoso,Seca
68358,Seca y limpia,Montañoso,Seca
70772,Seca y limpia,Montañoso,Normal
71569,Seca y limpia,Plano,Normal
71570,Seca y limpia,Plano,Normal
71571,Seca y limpia,Plano,Normal
74373,Humeda,Ondulado,Lluvia
74374,Humeda,Plano,Lluvia
74375,Seca y limpia,Plano,Normal
74376,Seca y limpia,Plano,Normal
74377,Seca y limpia,Plano,Normal
75584,Seca y limpia,Plano,Normal
75586,Seca y limpia,Plano,Normal
75589,Seca y limpia,Montañoso,Normal
75979,Humeda,Ondulado,Lluvia
75980,Humeda,Ondulado,Lluvia
75982,Seca y limpia,Ondulado,Normal
75984,Humeda,Ondulado,Lluvia
75986,Seca y limpia,Ondulado,Normal
75987,Seca y limpia,Montañoso,Normal
75988,Seca y limpia,Ondulado,Normal
75989,Seca y limpia,Montañoso,Normal
75990,Seca y limpia,Montañoso,Normal
76391,Seca y limpia,Ondulado,Normal
76398,Humeda,Montañoso,Lluvia
76793,Humeda,Montañoso,Lluvia
77588,Humeda,Plano,Lluvia
77589,Humeda,Montañoso,Lluvia
77590,Humeda,Plano,Niebla
77591,Seca y limpia,Plano,Normal
77592,Seca y limpia,Plano,Normal
83998,Seca y limpia,Montañoso,Sol
83999,Seca y limpia,Plano,Normal
93601,Seca y limpia,Plano,Normal
93602,Seca y limpia,Plano,Normal
93603,Seca y limpia,Plano,Normal
93604,Seca y limpia,Plano,Normal
94003,Seca y limpia,Plano,Normal
94005,Seca y limpia,Ondulado,Normal
94007,Seca y limpia,Plano,Normal
94008,Seca y limpia,Ondulado,Normal
95973,Humeda,Montañoso,Lluvia
95974,Humeda,Ondulado,Niebla
95975,Humeda,Plano,Lluvia
95976,Seca y limpia,Plano,Seca
95977,Seca y limpia,Plano,Seca
95978,Seca y limpia,Plano,Sol
95979,Seca y limpia,Plano,Seca
95980,Seca y limpia,Ondulado,Seca
95981,Seca y limpia,Escarpado,Sol
95982,Seca y limpia,Plano,Seca
95983,Humeda,Plano,Lluvia
95984,Seca y limpia,Plano,Seca
95985,Seca y limpia,Plano,Seca
95986,Humeda,Ondulado,Lluvia
95987,Humeda,Ondulado,Lluvia
95988,Humeda,Montañoso,Lluvia
95989,Seca y limpia,Montañoso,Sol
95990,Seca y limpia,Plano,Seca
95991,Seca y limpia,Montañoso,Seca
95992,Seca y limpia,Montañoso,Sol
95993,Seca y limpia,Montañoso,Seca
95999,Humeda,Escarpado,Lluvia
96000,Humeda,Escarpado,Lluvia
96001,Humeda,Ondulado,Lluvia
96002,Humeda,Escarpado,Lluvia
96007,Seca y limpia,Plano,Normal
96008,Seca y limpia,Escarpado,Normal
96015,Seca y limpia,Escarpado,Normal
96016,Seca y limpia,Ondulado,Normal
